Hãng xe,Dòng xe,Đời xe,Phiên bản,Màu xe,Công tơ mét (km),Nhập khẩu,Tình trạng,Giá (VNĐ)
Kia,EV6,2022,LUX,Đen,27419,Nhập khẩu Úc,Rất tốt,1783000000
Kia,Carnival,2018,LUX,Đen,80677,Nhập khẩu,Trung bình,823000000
Nissan,Kicks,2016,AT,Trắng,127186,Nhập khẩu,Trung bình,410000000
Nissan,Almera,2022,LUX,Bạc,39783,Nhập khẩu Úc,Tốt,344000000
BMW,X5,2026,MT,Xám,3946,Nhập khẩu,Mới,7239000000
Hyundai,Tucson,2018,S,Vàng,29591,Nhập khẩu,Trung bình,792000000
Ford,EcoSport,2012,S,Trắng,68001,Nhập khẩu,Trung bình,317000000
Kia,Morning,2016,LUX,Trắng,45514,Nhập khẩu Úc,Tốt,268000000
Chevrolet,Equinox,2012,LUX,Bạc,70543,Nhập khẩu Nhật,Trung bình,703000000
Mazda,CX-30,2023,LUX,Đen,22118,Nhập khẩu,Rất tốt,926000000
Ford,Mustang,2012,LUX,Xanh,84132,Trong nước,Trung bình,1280000000
Kia,Cerato,2012,AT,Đỏ,45810,Nhập khẩu Mỹ,Rất tốt,525000000
Honda,CR-V,2013,RX,Đen,30040,Nhập khẩu,Rất tốt,699000000
Toyota,Fortuner,2019,MT,Đen,36395,Nhập khẩu Nhật,Trung bình,831000000
Hyundai,Stargazer,2026,LUX,Xám,1076,Trong nước,Mới,933000000
Honda,Civic,2019,AT,Bạc,98909,Nhập khẩu,Tốt,754000000
Ford,Ranger,2026,AT,Xanh,2971,Nhập khẩu,Mới,1803000000
Ford,Explorer,2021,LUX,Đỏ,13858,Nhập khẩu,Rất tốt,1557000000
Toyota,Yaris,2018,LUX,Vàng,15979,Trong nước,Tốt,475000000
Mitsubishi,Xforce,2022,LUX,Trắng,19531,Nhập khẩu Úc,Rất tốt,698000000
Honda,Jazz,2015,AT,Đen,75719,Nhập khẩu,Tốt,253000000
Suzuki,Crossover,2016,LUX,Bạc,42903,Trong nước,Tốt,431000000
Peugeot,508,2016,LUX,Ghi,24092,Trong nước,Trung bình,602000000
Toyota,Vios,2013,E,Bạc,48985,Nhập khẩu,Trung bình,364000000
Hyundai,Tucson,2019,LUX,Vàng,29167,Trong nước,Tốt,1012000000
Ford,Everest,2026,MT,Cam,7913,Trong nước,Mới,1728000000
Mazda,CX-5,2023,AT,Bạc,18031,Nhập khẩu Úc,Rất tốt,1487000000
Honda,Accord,2023,S,Đen,11348,Trong nước,Rất tốt,966000000
Kia,Seltos,2022,Premium,Đen,8440,Trong nước,Rất tốt,521000000
Audi,Q5,2025,S,Đen,30980,Nhập khẩu,Tốt,2537000000
Peugeot,2008,2022,S,Đỏ,13471,Nhập khẩu Mỹ,Rất tốt,771000000
Ford,EcoSport,2017,LUX,Trắng,84109,Trong nước,Tốt,338000000
Hyundai,Accent,2012,AT,Trắng,28330,Nhập khẩu,Tốt,257000000
Suzuki,XL7,2016,LUX,Bạc,56560,Trong nước,Rất tốt,474000000
Honda,CR-V,2017,RX,Xám,21535,Nhập khẩu Nhật,Tốt,842000000
Mazda,CX-5,2015,AT,Trắng,58726,Trong nước,Rất tốt,571000000
Kia,Morning,2013,MT,Đen,202859,Nhập khẩu,Trung bình,100000000
Ford,EcoSport,2016,AT,Trắng,46666,Trong nước,Tốt,355000000
Toyota,Vios,2022,G,Đỏ,5556,Nhập khẩu,Rất tốt,555000000
Hyundai,Stargazer,2014,S,Bạc,21729,Nhập khẩu,Tốt,575000000
Mazda,CX-8,2016,MT,Xanh,47005,Nhập khẩu Nhật,Tốt,913000000
Kia,Seltos,2023,AT,Xám,7441,Trong nước,Rất tốt,657000000
Nissan,Leaf,2015,MT,Đen,21299,Trong nước,Rất tốt,1224000000
Nissan,Z,2015,MT,Đen,97630,Nhập khẩu,Tốt,1687000000
Mazda,CX-8,2023,LUX,Đen,13588,Trong nước,Rất tốt,1314000000
Honda,HR-V,2016,MT,Bạc,38778,Trong nước,Tốt,369000000
Toyota,Hilux,2016,S,Xanh,146687,Nhập khẩu Nhật,Trung bình,356000000
Ford,Ranger,2014,MT,Nâu,26790,Nhập khẩu Úc,Trung bình,1162000000
Lexus,ES,2012,LUX,Xám,191694,Nhập khẩu Nhật,Trung bình,1395000000
Hyundai,Ioniq 5,2018,MT,Bạc,29319,Trong nước,Tốt,1008000000
Nissan,X-Trail,2014,AT,Xám,140607,Trong nước,Trung bình,271000000
Toyota,Wigo,2016,MT,Xám,70802,Nhập khẩu Nhật,Trung bình,255000000
Volvo,XC90,2017,AT,Xanh,116402,Nhập khẩu Nhật,Trung bình,1957000000
Honda,Civic,2015,AT,Xám,247479,Nhập khẩu,Trung bình,240000000
Toyota,Corolla Cross,2015,LUX,Vàng,38713,Nhập khẩu,Trung bình,494000000
Hyundai,Stargazer,2018,S,Trắng,138411,Nhập khẩu Nhật,Trung bình,323000000
Mazda,Mazda6,2019,LUX,Trắng,33750,Nhập khẩu Úc,Tốt,950000000
Nissan,Almera,2018,AT,Bạc,33504,Nhập khẩu Úc,Trung bình,335000000
Suzuki,Ertiga,2018,AT,Đen,30811,Nhập khẩu,Rất tốt,405000000
Mazda,MX-5,2018,MT,Trắng,44624,Trong nước,Tốt,1224000000
Hyundai,Accent,2025,AT,Nâu,1171,Nhập khẩu,Mới,616000000
Toyota,Corolla Altis,2026,MT,Đen,5647,Nhập khẩu,Mới,950000000
Kia,Sorento,2018,S,Đỏ,44649,Nhập khẩu Nhật,Rất tốt,1053000000
Kia,Seltos,2015,AT,Đỏ,98928,Trong nước,Trung bình,370000000
Honda,City,2018,AT,Trắng,83159,Nhập khẩu Nhật,Trung bình,343000000
Peugeot,2008,2024,MT,Đen,4064,Nhập khẩu,Mới,794000000
Honda,CR-V,2014,L,Đen,39800,Trong nước,Tốt,578000000
Honda,CR-V,2013,L,Đỏ,36511,Nhập khẩu Nhật,Tốt,718000000
Toyota,Raize,2020,LUX,Trắng,14978,Nhập khẩu,Tốt,433000000
BMW,X7,2016,AT,Đen,23265,Nhập khẩu,Trung bình,3986000000
Mazda,CX-30,2013,MT,Bạc,43057,Nhập khẩu Nhật,Tốt,533000000
Toyota,Camry,2018,2.5Q,Nâu,26971,Trong nước,Tốt,755000000
Ford,Focus,2021,MT,Bạc,88056,Nhập khẩu Nhật,Trung bình,542000000
Ford,Territory,2022,MT,Nâu,16421,Nhập khẩu Nhật,Rất tốt,831000000
Hyundai,Kona,2015,S,Đỏ,43463,Nhập khẩu,Trung bình,357000000
Toyota,Wigo,2012,S,Trắng,67773,Nhập khẩu Nhật,Trung bình,298000000
Mitsubishi,Pajero Sport,2016,AT,Đỏ,28243,Trong nước,Tốt,1024000000
Ford,Escape,2020,AT,Đỏ,23502,Nhập khẩu Nhật,Tốt,982000000
Honda,HR-V,2025,AT,Đen,6888,Nhập khẩu Úc,Mới,1068000000
Chevrolet,Cruze,2018,MT,Trắng,40505,Nhập khẩu,Trung bình,319000000
Kia,K5,2016,LUX,Cam,48258,Trong nước,Tốt,613000000
Mitsubishi,Outlander,2015,S,Nâu,250000,Nhập khẩu,Trung bình,223000000
Toyota,Corolla Altis,2015,AT,Xám,136758,Nhập khẩu Úc,Trung bình,378000000
Ford,Ranger,2014,MT,Xanh,73712,Trong nước,Tốt,636000000
Hyundai,Palisade,2012,MT,Bạc,66338,Nhập khẩu Úc,Tốt,1113000000
Porsche,Cayenne,2017,MT,Cam,73312,Nhập khẩu,Trung bình,5448000000
Kia,Carens,2014,AT,Xám,32363,Nhập khẩu Úc,Trung bình,405000000
Lexus,ES,2018,AT,Bạc,34104,Nhập khẩu,Tốt,2818000000
Hyundai,Ioniq 5,2023,LUX,Cam,5563,Nhập khẩu,Rất tốt,2114000000
Honda,HR-V,2016,MT,Xám,55496,Nhập khẩu,Tốt,502000000
Honda,Accord,2022,S,Nâu,15963,Nhập khẩu Nhật,Rất tốt,1314000000
Toyota,Land Cruiser Prado,2021,AT,Nâu,15944,Nhập khẩu Nhật,Tốt,4738000000
Honda,HR-V,2022,LUX,Đen,51550,Trong nước,Rất tốt,535000000
Toyota,Corolla Altis,2016,S,Xanh,152104,Nhập khẩu Mỹ,Trung bình,480000000
Ford,Escape,2012,AT,Đỏ,90435,Nhập khẩu,Trung bình,416000000
Suzuki,Ertiga,2016,MT,Xanh,61923,Nhập khẩu Nhật,Trung bình,246000000
Mercedes-Benz,E-Class,2020,LUX,Xám,56919,Nhập khẩu Mỹ,Trung bình,1711000000
Hyundai,Kona,2018,LUX,Đen,20320,Nhập khẩu,Tốt,270000000
Chevrolet,Captiva,2014,AT,Trắng,105969,Nhập khẩu Mỹ,Trung bình,449000000
Toyota,Yaris,2015,MT,Đen,27332,Nhập khẩu Mỹ,Trung bình,444000000
Mazda,BT-50,2017,S,Nâu,106949,Nhập khẩu,Trung bình,357000000
Hyundai,Palisade,2018,AT,Trắng,27260,Nhập khẩu,Tốt,1333000000
Toyota,Hilux,2015,LUX,Bạc,135296,Trong nước,Trung bình,334000000
Hyundai,Stargazer,2026,LUX,Ghi,20182,Nhập khẩu Nhật,Rất tốt,993000000
Mazda,Mazda3,2012,AT,Nâu,28860,Nhập khẩu Nhật,Trung bình,373000000
Toyota,Fortuner,2025,AT,Cam,4348,Nhập khẩu Mỹ,Mới,2217000000
Kia,Sportage,2021,AT,Xám,101141,Nhập khẩu,Trung bình,610000000
Mitsubishi,Pajero Sport,2015,MT,Trắng,56327,Nhập khẩu Nhật,Trung bình,1152000000
Toyota,Corolla Cross,2025,LUX,Bạc,13942,Nhập khẩu Nhật,Mới,863000000
Toyota,Wigo,2023,MT,Nâu,17439,Nhập khẩu Nhật,Rất tốt,383000000
Honda,City,2017,MT,Bạc,45879,Trong nước,Trung bình,306000000
Lexus,ES,2021,MT,Trắng,17741,Trong nước,Rất tốt,2850000000
Honda,CR-V,2020,L,Xám,15225,Trong nước,Tốt,747000000
Nissan,Almera,2015,AT,Ghi,98905,Nhập khẩu,Tốt,264000000
Hyundai,Elantra,2015,S,Bạc,46875,Trong nước,Tốt,404000000
Suzuki,XL7,2014,S,Ghi,59377,Nhập khẩu Nhật,Tốt,543000000
Chevrolet,Trailblazer,2021,AT,Đen,25592,Trong nước,Tốt,832000000
Kia,Sorento,2017,S,Nâu,67357,Trong nước,Tốt,904000000
Kia,Sportage,2017,S,Bạc,130372,Nhập khẩu Mỹ,Trung bình,575000000
Mitsubishi,Triton,2012,MT,Đen,237232,Nhập khẩu,Trung bình,313000000
Toyota,Fortuner,2020,MT,Ghi,22041,Trong nước,Tốt,1219000000
Ford,Territory,2014,LUX,Trắng,116660,Nhập khẩu Nhật,Trung bình,794000000
Kia,Seltos,2023,AT,Xám,25246,Nhập khẩu Mỹ,Rất tốt,1014000000
Honda,City,2014,AT,Trắng,66871,Trong nước,Tốt,259000000
Ford,Territory,2013,MT,Bạc,191855,Nhập khẩu,Trung bình,421000000
Nissan,Kicks,2019,AT,Trắng,23502,Trong nước,Rất tốt,546000000
Honda,Jazz,2014,LUX,Xám,26363,Nhập khẩu Úc,Rất tốt,452000000
Mazda,BT-50,2023,LUX,Đỏ,31934,Nhập khẩu,Rất tốt,938000000
Hyundai,Accent,2018,SE,Xám,36975,Trong nước,Tốt,300000000
Nissan,Kicks,2024,AT,Đỏ,13139,Trong nước,Mới,722000000
Mazda,CX-30,2016,LUX,Bạc,142967,Nhập khẩu Mỹ,Trung bình,395000000
Ford,Explorer,2013,LUX,Đen,23547,Nhập khẩu Úc,Rất tốt,1142000000
Toyota,Innova,2024,Venturer,Nâu,15046,Nhập khẩu,Rất tốt,790000000
Suzuki,Ertiga,2024,MT,Bạc,4163,Nhập khẩu,Mới,457000000
Toyota,Wigo,2024,AT,Trắng,4999,Nhập khẩu,Mới,459000000
Honda,City,2024,AT,Đen,6895,Nhập khẩu,Mới,466000000
Ford,Everest,2017,AT,Xám,163488,Nhập khẩu Nhật,Trung bình,481000000
Nissan,Leaf,2015,LUX,Trắng,21061,Nhập khẩu Nhật,Trung bình,720000000
Suzuki,Vitara,2023,AT,Đen,14070,Trong nước,Rất tốt,669000000
Honda,Accord,2026,S,Bạc,8147,Trong nước,Mới,1485000000
Hyundai,Creta,2021,AT,Xám,39501,Trong nước,Tốt,724000000
Ford,Escape,2017,AT,Trắng,84866,Nhập khẩu,Trung bình,511000000
Toyota,Land Cruiser Prado,2013,S,Trắng,27940,Nhập khẩu Nhật,Tốt,2845000000
Suzuki,Crossover,2014,S,Ghi,39569,Nhập khẩu Mỹ,Rất tốt,558000000
Toyota,Hilux,2026,MT,Nâu,3109,Nhập khẩu Nhật,Mới,1263000000
Mitsubishi,Xforce,2021,LUX,Vàng,47533,Trong nước,Tốt,351000000
Hyundai,Elantra,2016,S,Đen,37973,Nhập khẩu Nhật,Rất tốt,457000000
Toyota,Raize,2012,S,Đỏ,33013,Nhập khẩu Úc,Tốt,270000000
Honda,Civic,2021,RS,Đỏ,82611,Nhập khẩu,Tốt,626000000
Lexus,LX,2020,S,Bạc,10204,Nhập khẩu,Tốt,7192000000
Suzuki,Vitara,2014,LUX,Xám,250000,Nhập khẩu Nhật,Trung bình,238000000
Hyundai,Palisade,2019,AT,Đen,57922,Trong nước,Tốt,1695000000
Mazda,CX-8,2016,MT,Nâu,116964,Nhập khẩu,Trung bình,602000000
Honda,CR-V,2013,RX,Nâu,39195,Nhập khẩu,Tốt,843000000
Kia,Sorento,2023,MT,Nâu,5201,Trong nước,Rất tốt,1316000000
Toyota,Wigo,2020,LUX,Xám,40794,Nhập khẩu Úc,Tốt,350000000
Kia,Sonet,2016,S,Trắng,118815,Nhập khẩu,Trung bình,268000000
Honda,CR-V,2017,L,Xám,94189,Nhập khẩu,Trung bình,522000000
Toyota,Corolla Altis,2020,MT,Đen,13545,Nhập khẩu,Tốt,338000000
Nissan,Kicks,2025,LUX,Đen,9800,Nhập khẩu Úc,Mới,636000000
Honda,Civic,2017,AT,Bạc,100575,Nhập khẩu Mỹ,Trung bình,483000000
Kia,Seltos,2023,AT,Đen,20043,Trong nước,Rất tốt,782000000
Honda,CR-V,2023,L,Vàng,25341,Nhập khẩu Mỹ,Rất tốt,1457000000
Hyundai,Palisade,2020,S,Trắng,53016,Trong nước,Rất tốt,1726000000
Ford,Escape,2024,MT,Đỏ,6656,Nhập khẩu Úc,Mới,1154000000
BMW,X1,2018,LUX,Xanh,18525,Trong nước,Trung bình,1141000000
Honda,City,2020,RS,Bạc,25380,Nhập khẩu Mỹ,Rất tốt,456000000
Kia,Seltos,2014,Premium,Xám,24445,Nhập khẩu Nhật,Tốt,496000000
Kia,Sorento,2012,AT,Đen,48791,Trong nước,Rất tốt,800000000
Mazda,CX-5,2018,Premium,Bạc,34864,Trong nước,Tốt,625000000
Mazda,Mazda6,2016,AT,Cam,23755,Nhập khẩu Nhật,Tốt,815000000
Honda,HR-V,2020,AT,Cam,19866,Nhập khẩu Mỹ,Tốt,556000000
Mitsubishi,Outlander,2015,LUX,Bạc,26471,Trong nước,Rất tốt,721000000
Hyundai,Santa Fe,2012,AT,Đỏ,110831,Trong nước,Trung bình,711000000
Toyota,Fortuner,2023,SR5,Trắng,46307,Nhập khẩu,Tốt,1221000000
Kia,Seltos,2021,LUX,Xám,11726,Nhập khẩu Nhật,Tốt,714000000
Hyundai,Elantra,2018,LUX,Đỏ,132938,Nhập khẩu Nhật,Trung bình,301000000
Ford,Focus,2016,AT,Trắng,60664,Nhập khẩu Úc,Trung bình,377000000
Kia,Carnival,2014,MT,Vàng,39583,Nhập khẩu Mỹ,Tốt,929000000
Mercedes-Benz,S-Class,2014,AT,Bạc,24398,Nhập khẩu Nhật,Tốt,6058000000
Hyundai,Accent,2024,SE,Đỏ,4860,Trong nước,Mới,509000000
Toyota,Wigo,2017,S,Đen,107031,Nhập khẩu,Trung bình,257000000
Hyundai,Elantra,2026,LUX,Trắng,8595,Nhập khẩu Úc,Mới,876000000
Nissan,Z,2016,LUX,Đen,22834,Trong nước,Trung bình,1945000000
Suzuki,Swift,2024,LUX,Đen,529,Trong nước,Mới,311000000
Kia,Sonet,2020,LUX,Xám,21859,Nhập khẩu,Tốt,359000000
Honda,City,2014,AT,Bạc,39248,Trong nước,Trung bình,257000000
Suzuki,Ertiga,2024,S,Đen,1851,Nhập khẩu Nhật,Mới,555000000
Toyota,Fortuner,2016,SR5,Trắng,38144,Trong nước,Tốt,1038000000
Chevrolet,Spark,2013,LUX,Bạc,109485,Nhập khẩu,Trung bình,168000000
Hyundai,Tucson,2018,LUX,Bạc,115635,Trong nước,Trung bình,238000000
Suzuki,Ciaz,2024,AT,Bạc,3635,Nhập khẩu Mỹ,Mới,704000000
Hyundai,Ioniq 5,2020,MT,Bạc,64409,Nhập khẩu,Trung bình,1041000000
Honda,City,2021,AT,Bạc,18920,Trong nước,Trung bình,334000000
Mazda,Mazda6,2018,LUX,Đen,39589,Trong nước,Trung bình,568000000
Honda,Accord,2025,MT,Xám,1793,Trong nước,Mới,1167000000
Chevrolet,Captiva,2014,LUX,Xanh,76263,Nhập khẩu Nhật,Tốt,565000000
Toyota,Wigo,2022,LUX,Trắng,59072,Nhập khẩu Nhật,Tốt,258000000
Chevrolet,Equinox,2017,S,Đen,70878,Nhập khẩu,Tốt,912000000
Ford,Escape,2013,LUX,Đen,44358,Trong nước,Rất tốt,715000000
Toyota,Corolla Altis,2020,S,Trắng,34002,Nhập khẩu,Trung bình,338000000
Toyota,Raize,2013,S,Nâu,27213,Trong nước,Tốt,280000000
Toyota,Yaris,2023,AT,Xanh,35732,Trong nước,Tốt,527000000
Toyota,Veloz,2021,S,Trắng,26084,Nhập khẩu,Rất tốt,676000000
Hyundai,Santa Fe,2014,LUX,Đen,52816,Nhập khẩu Nhật,Tốt,1070000000
Ford,Territory,2015,MT,Nâu,68485,Nhập khẩu Nhật,Trung bình,815000000
Chevrolet,Spark,2023,S,Xám,18723,Nhập khẩu Nhật,Rất tốt,292000000
Honda,Accord,2015,S,Xanh,24096,Trong nước,Tốt,833000000
Toyota,Corolla Cross,2012,S,Đỏ,83120,Nhập khẩu,Tốt,349000000
Mazda,CX-8,2020,AT,Xanh,16370,Trong nước,Rất tốt,788000000
Honda,Jazz,2012,AT,Đỏ,88837,Nhập khẩu Mỹ,Trung bình,298000000
Toyota,Vios,2015,E,Xám,115093,Nhập khẩu Mỹ,Trung bình,259000000
BMW,X7,2026,AT,Nâu,11406,Trong nước,Mới,8987000000
Mitsubishi,Outlander,2013,S,Trắng,64224,Nhập khẩu,Trung bình,564000000
Kia,Carnival,2015,AT,Trắng,60387,Nhập khẩu Nhật,Trung bình,1043000000
Mitsubishi,Triton,2022,S,Nâu,7158,Trong nước,Rất tốt,889000000
Hyundai,Palisade,2023,MT,Xanh,25904,Nhập khẩu,Rất tốt,1560000000
Suzuki,Ciaz,2014,LUX,Xanh,37415,Nhập khẩu Nhật,Rất tốt,376000000
Kia,Seltos,2019,MT,Trắng,41089,Trong nước,Rất tốt,715000000
Suzuki,XL7,2026,LUX,Đen,2341,Nhập khẩu,Mới,719000000
Kia,Seltos,2026,AT,Trắng,1005,Trong nước,Mới,959000000
Toyota,Veloz,2017,S,Trắng,74618,Trong nước,Tốt,372000000
Nissan,Navara,2026,LUX,Trắng,391,Nhập khẩu,Mới,965000000
Toyota,Vios,2018,MT,Bạc,67473,Trong nước,Trung bình,319000000
Mazda,BT-50,2017,S,Bạc,41016,Nhập khẩu,Tốt,662000000
Mitsubishi,Attrage,2026,MT,Xanh,0,Nhập khẩu Mỹ,Mới,671000000
Toyota,Vios,2016,AT,Đen,59361,Trong nước,Trung bình,201000000
Honda,CR-V,2014,RX,Bạc,22639,Trong nước,Tốt,689000000
Nissan,Navara,2018,AT,Ghi,27281,Nhập khẩu Nhật,Rất tốt,769000000
Mazda,Mazda6,2024,LUX,Nâu,8592,Trong nước,Mới,1130000000
Kia,Seltos,2013,Premium,Bạc,23560,Trong nước,Tốt,587000000
Honda,HR-V,2018,LUX,Trắng,84481,Trong nước,Trung bình,424000000
Hyundai,Kona,2017,AT,Xám,20210,Trong nước,Tốt,480000000
Toyota,Land Cruiser Prado,2017,LUX,Trắng,35590,Nhập khẩu Mỹ,Tốt,3524000000
Hyundai,Creta,2016,MT,Xám,94280,Nhập khẩu Nhật,Trung bình,477000000
Audi,Q3,2026,S,Xám,2661,Nhập khẩu Úc,Mới,3080000000
Suzuki,XL7,2017,MT,Đen,25910,Nhập khẩu Úc,Tốt,537000000
Toyota,Innova,2015,Venturer,Trắng,44565,Nhập khẩu,Tốt,637000000
Ford,Ranger,2021,AT,Trắng,17250,Nhập khẩu,Tốt,981000000
Kia,Morning,2021,S,Trắng,52542,Nhập khẩu Úc,Tốt,275000000
Nissan,Kicks,2016,LUX,Đen,40676,Nhập khẩu,Rất tốt,454000000
Nissan,Kicks,2016,LUX,Bạc,105556,Trong nước,Trung bình,217000000
Honda,HR-V,2012,S,Trắng,142344,Trong nước,Trung bình,243000000
Ford,Ranger,2014,LUX,Bạc,51286,Trong nước,Tốt,655000000
Kia,Seltos,2017,MT,Xám,152402,Nhập khẩu Nhật,Trung bình,401000000
Toyota,Corolla Altis,2013,LUX,Nâu,46054,Nhập khẩu,Tốt,444000000
Toyota,Camry,2013,3.5Q,Trắng,202952,Nhập khẩu Nhật,Trung bình,341000000
Hyundai,Kona,2018,S,Trắng,18554,Nhập khẩu,Trung bình,376000000
Toyota,Land Cruiser Prado,2022,S,Bạc,21262,Trong nước,Rất tốt,3680000000
BMW,X5,2019,LUX,Trắng,40872,Nhập khẩu,Tốt,3646000000
Toyota,Raize,2025,LUX,Bạc,3433,Nhập khẩu,Mới,609000000
Hyundai,Accent,2026,SE,Trắng,7011,Nhập khẩu Mỹ,Mới,909000000
Hyundai,Creta,2026,MT,Bạc,8518,Nhập khẩu Nhật,Mới,1043000000
Toyota,Hilux,2022,AT,Đen,5061,Trong nước,Rất tốt,803000000
Mazda,MX-5,2022,AT,Cam,7557,Nhập khẩu,Rất tốt,2179000000
Toyota,Wigo,2013,S,Đen,88663,Nhập khẩu Nhật,Trung bình,213000000
Suzuki,Vitara,2016,S,Xám,80377,Trong nước,Trung bình,234000000
Chevrolet,Equinox,2025,MT,Bạc,23679,Trong nước,Rất tốt,900000000
Kia,Carnival,2026,S,Đỏ,10020,Nhập khẩu Nhật,Mới,2130000000
Honda,Civic,2026,RS,Bạc,21079,Nhập khẩu Úc,Rất tốt,1075000000
Hyundai,Accent,2012,SE,Bạc,86686,Trong nước,Tốt,203000000
Audi,Q7,2013,LUX,Nâu,39464,Nhập khẩu,Tốt,4151000000
Kia,EV6,2016,MT,Cam,26123,Nhập khẩu,Tốt,1957000000
Honda,Jazz,2018,MT,Bạc,72853,Nhập khẩu Nhật,Trung bình,427000000
Nissan,Leaf,2022,AT,Vàng,19465,Nhập khẩu Nhật,Rất tốt,1382000000
Toyota,Wigo,2022,S,Ghi,5691,Nhập khẩu,Rất tốt,300000000
Mazda,Mazda3,2023,AT,Đen,11249,Nhập khẩu Úc,Rất tốt,518000000
Toyota,Corolla Altis,2022,AT,Bạc,48986,Nhập khẩu,Tốt,550000000
Mazda,Mazda3,2019,MT,Xám,41370,Trong nước,Rất tốt,747000000
Hyundai,Palisade,2016,LUX,Trắng,51180,Trong nước,Trung bình,1524000000
Kia,Morning,2014,LUX,Đen,53656,Nhập khẩu Nhật,Tốt,282000000
Honda,Jazz,2016,S,Trắng,32886,Nhập khẩu Mỹ,Tốt,577000000
Ford,EcoSport,2026,MT,Đen,3219,Nhập khẩu Úc,Mới,659000000
BMW,5 Series,2019,MT,Xám,32546,Nhập khẩu,Tốt,2258000000
Toyota,Veloz,2015,S,Đen,22957,Nhập khẩu Úc,Tốt,436000000
Hyundai,Santa Fe,2023,LUX,Đen,25428,Trong nước,Rất tốt,1365000000
Mazda,CX-5,2013,MT,Cam,49629,Trong nước,Tốt,527000000
Audi,A4,2015,S,Đen,114984,Trong nước,Trung bình,906000000
Toyota,Corolla Altis,2020,S,Nâu,53687,Trong nước,Tốt,502000000
Toyota,Fortuner,2023,AT,Đen,8335,Nhập khẩu Úc,Rất tốt,1742000000
Toyota,Camry,2026,2.0G,Trắng,7497,Nhập khẩu,Mới,1261000000
Chevrolet,Captiva,2015,S,Đen,55155,Nhập khẩu,Tốt,528000000
Kia,Cerato,2024,S,Bạc,14850,Nhập khẩu Nhật,Mới,499000000
Honda,CR-V,2012,L,Trắng,33365,Nhập khẩu,Tốt,613000000
Mazda,MX-5,2022,AT,Trắng,20856,Trong nước,Rất tốt,1513000000
Nissan,X-Trail,2022,AT,Đen,18102,Trong nước,Rất tốt,808000000
Toyota,Fortuner,2015,MT,Đen,39249,Nhập khẩu Úc,Tốt,846000000
Toyota,Veloz,2012,AT,Trắng,28078,Nhập khẩu,Rất tốt,544000000
Honda,Civic,2022,RS,Ghi,19763,Trong nước,Rất tốt,783000000
Mitsubishi,Attrage,2024,LUX,Xám,9391,Nhập khẩu,Mới,490000000
Toyota,Yaris,2025,MT,Đỏ,2654,Trong nước,Mới,616000000
Mazda,Mazda6,2019,LUX,Trắng,54336,Nhập khẩu Mỹ,Tốt,937000000
Nissan,Kicks,2019,AT,Bạc,34104,Nhập khẩu Nhật,Trung bình,478000000
Porsche,Cayenne,2024,MT,Ghi,8742,Trong nước,Mới,8555000000
Mazda,CX-8,2019,S,Trắng,23442,Nhập khẩu,Tốt,749000000
Chevrolet,Trailblazer,2014,LUX,Bạc,141507,Nhập khẩu Nhật,Trung bình,367000000
Kia,Carens,2019,AT,Đen,27876,Nhập khẩu Nhật,Rất tốt,654000000
Chevrolet,Equinox,2023,LUX,Xám,11419,Trong nước,Rất tốt,1196000000
Hyundai,Santa Fe,2021,MT,Đỏ,11376,Trong nước,Rất tốt,1191000000
Mitsubishi,Xpander,2016,S,Ghi,26502,Trong nước,Tốt,555000000
Honda,City,2015,AT,Trắng,59896,Trong nước,Tốt,345000000
Honda,Civic,2016,AT,Bạc,37128,Trong nước,Rất tốt,520000000
Suzuki,Ciaz,2015,MT,Đỏ,119259,Trong nước,Trung bình,235000000
Hyundai,Kona,2014,AT,Trắng,20814,Nhập khẩu Nhật,Tốt,339000000
Toyota,Wigo,2020,AT,Trắng,20961,Nhập khẩu Mỹ,Tốt,364000000
Toyota,Innova,2021,V,Vàng,19464,Trong nước,Tốt,695000000
Ford,Escape,2021,MT,Xanh,10448,Nhập khẩu,Tốt,442000000
Hyundai,Creta,2015,AT,Đen,27304,Trong nước,Tốt,383000000
Hyundai,Creta,2026,MT,Trắng,3736,Nhập khẩu Nhật,Mới,1076000000
Nissan,Navara,2012,LUX,Trắng,57343,Trong nước,Tốt,399000000
Mazda,Mazda3,2016,AT,Đen,48490,Trong nước,Tốt,376000000
Toyota,Vios,2025,V,Đỏ,5299,Nhập khẩu Úc,Mới,810000000
Ford,Ranger,2014,LUX,Cam,69730,Trong nước,Trung bình,671000000
Peugeot,5008,2023,S,Xám,5139,Trong nước,Rất tốt,1443000000
Nissan,Navara,2019,MT,Đen,38704,Nhập khẩu Nhật,Trung bình,590000000
Kia,K5,2018,MT,Trắng,140796,Trong nước,Trung bình,378000000
Toyota,Raize,2018,AT,Xám,42814,Nhập khẩu Mỹ,Rất tốt,442000000
Toyota,Fortuner,2017,SR5,Trắng,82248,Nhập khẩu Úc,Trung bình,483000000
Kia,EV6,2017,LUX,Trắng,40557,Nhập khẩu,Tốt,1498000000
Hyundai,Elantra,2016,MT,Xám,101795,Trong nước,Trung bình,247000000
Toyota,Raize,2024,S,Đen,10377,Trong nước,Mới,564000000
Mitsubishi,Attrage,2020,LUX,Trắng,26943,Trong nước,Rất tốt,374000000
Mercedes-Benz,GLS,2018,MT,Ghi,156750,Nhập khẩu Mỹ,Trung bình,3077000000
